Gene_symbol	Ensembl gene ID	Chrom	CDS_Begin	CDS_End	Essential	Non-essential	Overexpressed_in_the_brain	Exon_number	CDS_length	GC%
SEPP1	ENSG00000250722	5	42799982	42887494	Y	N	N	5	1146	39.07
FGF10	ENSG00000070193	5	44303646	44389808	Y	N	N	3	627	35.67
ISL1	ENSG00000016082	5	50678921	50690564	Y	N	N	6	1050	44.97
PELO	ENSG00000152684	5	52083774	52099880	Y	N	N	3	1158	38.85
FST	ENSG00000134363	5	52776239	52782964	Y	N	N	6	1035	45.51
DHX29	ENSG00000067248	5	54552073	54603550	Y	N	N	27	4110	37.08
IL6ST	ENSG00000134352	5	55230923	55290821	Y	N	N	17	2757	37.41
PLK2	ENSG00000145632	5	57749809	57756087	Y	N	N	14	2058	42.35
PDE4D	ENSG00000113448	5	58264865	59817947	Y	N	N	15	2430	37.37
KIF2A	ENSG00000068796	5	61601989	61833076	Y	N	N	21	2235	38.86
PIK3R1	ENSG00000145675	5	67511548	67597649	Y	N	Y	15	2199	39.22
CCNB1	ENSG00000134057	5	68462837	68474072	Y	N	N	9	1302	43.63
RAD17	ENSG00000152942	5	68665120	68710628	Y	N	N	18	2046	39.7
SMN1	ENSG00000172062	5	70220768	70249769	Y	N	N	9	885	42.26
MAP1B	ENSG00000131711	5	71403061	71505395	Y	N	Y	7	7407	42.29
FOXD1	ENSG00000251493	5	72740654	72744352	Y	N	N	1	1380	53.88
BTF3	ENSG00000145741	5	72794233	72801460	Y	N	N	6	621	38.63
HMGCR	ENSG00000113161	5	74632154	74657929	Y	N	Y	20	2667	37.88
COL4A3BP	ENSG00000113163	5	74664311	74807963	Y	N	Y	19	2259	37.13
F2R	ENSG00000181104	5	76011868	76031606	Y	N	N	2	1278	42.79
F2RL1	ENSG00000164251	5	76114758	76131140	Y	N	N	2	1194	44.69
OTP	ENSG00000171540	5	76924538	76935513	Y	N	N	3	978	48.48
AP3B1	ENSG00000132842	5	77296349	77590579	Y	N	N	27	3285	36.53
SSBP2	ENSG00000145687	5	80708840	81047616	Y	N	Y	17	1086	35.97
XRCC4	ENSG00000152422	5	82373317	82649606	Y	N	N	8	1011	35.2
VCAN	ENSG00000038427	5	82767284	82878122	Y	N	N	15	10191	37.22
HAPLN1	ENSG00000145681	5	82933624	83017432	Y	N	N	5	1065	36.28
RASA1	ENSG00000145715	5	86563705	86687748	Y	N	Y	25	3144	35.77
MEF2C	ENSG00000081189	5	88013975	88199922	Y	N	Y	12	1452	36.04
NR2F1	ENSG00000175745	5	92919043	92930321	Y	N	Y	3	1272	50.27
PCSK1	ENSG00000175426	5	95726119	95769847	Y	N	Y	14	2262	39.95
RGMB	ENSG00000174136	5	98104354	98134347	Y	N	Y	5	1437	43.29
PAM	ENSG00000145730	5	102089685	102366809	Y	N	N	25	2925	35.92
EFNA5	ENSG00000184349	5	106712590	107006596	Y	N	Y	5	687	38.27
WDR36	ENSG00000134987	5	110427414	110466200	Y	N	N	23	2856	33.98
APC	ENSG00000134982	5	112043195	112181936	Y	N	Y	16	8532	37.63
KCNN2	ENSG00000080709	5	113696666	113832321	Y	N	Y	8	1740	38.35
HSD17B4	ENSG00000133835	5	118788138	118878028	Y	N	Y	25	2286	35.83
LOX	ENSG00000113083	5	121398890	121413980	Y	N	N	7	1254	37.87
LMNB1	ENSG00000113368	5	126112315	126172712	Y	N	N	11	1761	42.33
SLC12A2	ENSG00000064651	5	127419458	127525380	Y	N	N	27	3639	35.24
CSF2	ENSG00000164400	5	131409483	131411859	Y	N	N	4	435	55.53
RAD50	ENSG00000113522	5	131891711	131980313	Y	N	N	25	3939	38.7
KIF3A	ENSG00000131437	5	132028368	132073330	Y	N	Y	19	2181	36.69
AFF4	ENSG00000072364	5	132211071	132299326	Y	N	N	21	3492	40.42
VDAC1	ENSG00000213585	5	133307606	133340824	Y	N	N	9	852	47.42
PPP2CA	ENSG00000113575	5	133530025	133561833	Y	N	Y	7	930	40.38
CAMLG	ENSG00000164615	5	134074191	134087847	Y	N	Y	4	891	43.31
PITX1	ENSG00000069011	5	134362615	134370503	Y	N	N	3	945	59.63
NEUROG1	ENSG00000181965	5	134869991	134871639	Y	N	N	1	714	60.82
CXCL14	ENSG00000145824	5	134906373	134914969	Y	N	Y	4	336	52.08
SMAD5	ENSG00000113658	5	135468534	135524435	Y	N	N	9	1395	37.17
CTNNA1	ENSG00000044115	5	137946656	138270723	Y	N	N	18	2721	44.15
SIL1	ENSG00000120725	5	138282409	138629246	Y	N	N	11	1407	44.78
SLC23A1	ENSG00000170482	5	138702885	138720242	Y	N	N	15	1809	50.51
NRG2	ENSG00000158458	5	139226364	139422884	Y	N	N	11	2577	46.42
HBEGF	ENSG00000113070	5	139712428	139726216	Y	N	N	7	627	49.99
WDR55	ENSG00000120314	5	140044261	140053709	Y	N	N	7	1152	53.17
HDAC3	ENSG00000171720	5	141000443	141016437	Y	N	N	15	1287	45.26
SPRY4	ENSG00000187678	5	141689992	141706020	Y	N	N	3	969	51.21
NR3C1	ENSG00000113580	5	142657496	142815077	Y	N	N	9	2337	37.82
SPINK1	ENSG00000164266	5	147204131	147211349	Y	N	N	4	240	36.82
SPINK5	ENSG00000133710	5	147405246	147516852	Y	N	N	34	3285	35.55
HTR4	ENSG00000164270	5	147830595	148056798	Y	N	N	8	1287	38.87
PPARGC1B	ENSG00000155846	5	149109861	149234585	Y	N	N	12	3072	49
CSF1R	ENSG00000182578	5	149432854	149492935	Y	N	N	22	2919	48.1
PDGFRB	ENSG00000113721	5	149493400	149535423	Y	N	N	23	3321	54.35
TCOF1	ENSG00000070814	5	149737202	149779870	Y	N	N	28	4578	52.45
NDST1	ENSG00000070614	5	149865381	149937773	Y	N	N	15	2649	52.04
TNIP1	ENSG00000145901	5	150409506	150473138	Y	N	N	18	1911	50.01
ATOX1	ENSG00000177556	5	151121877	151152093	Y	N	N	3	222	46.3
G3BP1	ENSG00000145907	5	151150606	151192346	Y	N	N	12	1401	39.44
GLRA1	ENSG00000145888	5	151202074	151304403	Y	N	N	9	1374	41.69
HAND1	ENSG00000113196	5	153854532	153857824	Y	N	N	2	648	56.03
ADAM19	ENSG00000135074	5	156822542	157002783	Y	N	N	22	2868	44.66
GABRA1	ENSG00000022355	5	161274197	161326975	Y	N	Y	10	1371	34.97
GABRG2	ENSG00000113327	5	161494546	161582542	Y	N	Y	11	1548	35
FOXI1	ENSG00000168269	5	169532901	169536727	Y	N	N	2	1137	53.96
LCP2	ENSG00000043462	5	169673241	169725231	Y	N	N	21	1602	44.64
TLX3	ENSG00000164438	5	170736288	170739138	Y	N	N	3	876	66.78
NPM1	ENSG00000181163	5	170814120	170838141	Y	N	N	12	885	43.6
FGF18	ENSG00000156427	5	170846660	170884627	Y	N	N	5	624	54.86
SH3PXD2B	ENSG00000174705	5	171752185	171881527	Y	N	N	13	2736	48.31
NKX2-5	ENSG00000183072	5	172659112	172662360	Y	N	N	2	975	61.5
DRD1	ENSG00000184845	5	174867675	174871163	Y	N	Y	1	1341	47.95
NSD1	ENSG00000165671	5	176560026	176727216	Y	N	N	23	8091	42.34
RGS14	ENSG00000169220	5	176784838	176799602	Y	N	Y	15	1701	58.52
SLC34A1	ENSG00000131183	5	176806236	176825849	Y	N	N	13	1920	54.73
PROP1	ENSG00000175325	5	177419236	177423243	Y	N	N	3	681	54.37
CANX	ENSG00000127022	5	179105629	179157926	Y	N	N	15	1884	45.8
MAML1	ENSG00000161021	5	179159851	179223512	Y	N	N	5	3051	49.38
FLT4	ENSG00000037280	5	180028506	180076624	Y	N	N	30	4092	60.24
MGAT1	ENSG00000131446	5	180217541	180242652	Y	N	N	2	1338	50.68
FOXQ1	ENSG00000164379	6	1312675	1314992	Y	N	N	1	1212	62.17
FOXF2	ENSG00000137273	6	1390069	1395832	Y	N	N	2	1335	59.87
FOXC1	ENSG00000054598	6	1610681	1614127	Y	N	N	1	1662	53.35
RIPK1	ENSG00000137275	6	3064092	3115421	Y	N	N	11	2016	45.34
SSR1	ENSG00000124783	6	7268539	7347679	Y	N	N	10	897	43.56
DSP	ENSG00000096696	6	7541808	7586950	Y	N	N	24	8616	42.32
EEF1E1	ENSG00000124802	6	8073593	8102811	Y	N	N	4	525	39.63
TFAP2A	ENSG00000137203	6	10393419	10419892	Y	N	N	7	1320	47.57
GCM2	ENSG00000124827	6	10873456	10882174	Y	N	N	5	1521	44.51
EDN1	ENSG00000078401	6	12290596	12297427	Y	N	N	5	639	42.83
RANBP9	ENSG00000010017	6	13621730	13711796	Y	N	Y	14	2190	36.94
JARID2	ENSG00000008083	6	15246527	15522252	Y	N	N	18	3741	43.92
ID4	ENSG00000172201	6	19837617	19840915	Y	N	Y	3	486	53.08
E2F3	ENSG00000112242	6	20402398	20493941	Y	N	N	7	1398	42.65
SOX4	ENSG00000124766	6	21593972	21598847	Y	N	N	2	1425	52.54
ALDH5A1	ENSG00000112294	6	24495080	24537435	Y	N	N	11	1647	43.11
GMNN	ENSG00000112312	6	24775159	24786327	Y	N	N	7	630	36.82
GABBR1	ENSG00000204681	6	29523406	29601753	Y	N	Y	23	2886	44.86
ZFP57	ENSG00000204644	6	29640169	29648887	Y	N	N	4	1611	48.29
PPP1R10	ENSG00000204569	6	30568177	30586389	Y	N	N	20	2823	46.33
CDSN	ENSG00000204539	6	31082867	31088223	Y	N	N	2	1590	52.48
POU5F1	ENSG00000204531	6	31130253	31148508	Y	N	N	5	1083	51.16
BAG6	ENSG00000204463	6	31606805	31620482	Y	N	N	26	3489	52.38
CSNK2B	ENSG00000204435	6	31633013	31638120	Y	N	N	7	705	52.82
EHMT2	ENSG00000204371	6	31847536	31865464	Y	N	Y	27	3804	53.84
SKIV2L	ENSG00000204351	6	31926857	31937532	Y	N	N	28	3741	54.21
BRD2	ENSG00000204256	6	32936437	32949282	Y	N	N	13	2511	51.46
RXRB	ENSG00000204231	6	33161365	33168630	Y	N	N	10	1614	54.12
DAXX	ENSG00000204209	6	33286335	33297046	Y	N	N	8	2223	51.32
SYNGAP1	ENSG00000197283	6	33387847	33421466	Y	N	Y	19	4032	53.94
SPDEF	ENSG00000124664	6	34505579	34524110	Y	N	N	6	1008	57.98
PPARD	ENSG00000112033	6	35310335	35395968	Y	N	N	8	1326	49.53
CLPS	ENSG00000137392	6	35762759	35765088	Y	N	N	3	339	55.92
MAPK14	ENSG00000112062	6	35995488	36079013	Y	N	N	12	1083	39.87
SRSF3	ENSG00000112081	6	36562145	36571209	Y	N	N	6	495	40.36
KCNK5	ENSG00000164626	6	39156749	39197226	Y	N	N	5	1500	51.96
MOCS1	ENSG00000124615	6	39867354	39902290	Y	N	N	10	1911	50.3
NFYA	ENSG00000001167	6	41040684	41067715	Y	N	N	10	1044	40
FOXP4	ENSG00000137166	6	41514164	41570122	Y	N	N	17	2043	54.7
MDFI	ENSG00000112559	6	41604620	41621984	Y	N	N	5	741	58.13
TFEB	ENSG00000112561	6	41651716	41703997	Y	N	N	8	1689	54.14
BYSL	ENSG00000112578	6	41888926	41900784	Y	N	N	7	1314	48.76
TAF8	ENSG00000137413	6	42018251	42055199	Y	N	N	10	1017	45.88
UBR2	ENSG00000024048	6	42531800	42661242	Y	N	N	47	5268	39.1
CNPY3	ENSG00000137161	6	42896938	42907025	Y	N	N	6	837	50.56
PPP2R5D	ENSG00000112640	6	42952237	42980080	Y	N	N	16	1809	49.89
CUL7	ENSG00000044090	6	43005355	43021683	Y	N	N	26	5349	54.7
PTK7	ENSG00000112655	6	43044006	43129457	Y	N	N	20	3237	49.42
SRF	ENSG00000112658	6	43139037	43149243	Y	N	N	7	1527	55.7
VEGFA	ENSG00000112715	6	43737921	43754224	Y	N	N	8	1239	56.4
HSP90AB1	ENSG00000096384	6	44214824	44221620	Y	N	N	12	2175	47.06
RUNX2	ENSG00000124813	6	45295894	45632086	Y	N	Y	9	1770	40.23
MUT	ENSG00000146085	6	49398073	49430904	Y	N	Y	13	2253	34.4
TFAP2B	ENSG00000008196	6	50786436	50815326	Y	N	N	8	1410	44.14
PKHD1	ENSG00000170927	6	51480098	51952423	Y	N	N	67	12225	38.33
MCM3	ENSG00000112118	6	52128807	52149582	Y	N	N	17	2427	43.14
GCM1	ENSG00000137270	6	52991762	53013627	Y	N	N	6	1311	42.43
GCLC	ENSG00000001084	6	53362139	53481768	Y	N	N	16	1914	40.16
BMP5	ENSG00000112175	6	55618443	55740362	Y	N	N	7	1365	34.1
DST	ENSG00000151914	6	56322785	56819426	Y	N	Y	102	23253	38.07
RAB23	ENSG00000112210	6	57053581	57087078	Y	N	N	7	714	37.94
COL19A1	ENSG00000082293	6	70576463	70919679	Y	N	N	51	3429	36.57
RIMS1	ENSG00000079841	6	72596406	73112845	Y	N	N	34	5079	35.57
SLC17A5	ENSG00000119899	6	74303102	74363878	Y	N	N	11	1488	42.24
COL12A1	ENSG00000111799	6	75794042	75915767	Y	N	N	66	9192	36.87
PHIP	ENSG00000146247	6	79650263	79787953	Y	N	N	40	5466	34.44
ELOVL4	ENSG00000118402	6	80624529	80657297	Y	N	Y	6	945	36.66
PGM3	ENSG00000013375	6	83870869	83903655	Y	N	N	14	1713	38.66
RIPPLY2	ENSG00000203877	6	84562985	84567234	Y	N	N	4	387	42.89
TBX18	ENSG00000112837	6	85444157	85474237	Y	N	N	8	1824	37.5
SLC35A1	ENSG00000164414	6	88180341	88222054	Y	N	N	8	1014	39.25
AKIRIN2	ENSG00000135334	6	88384790	88411927	Y	N	N	5	612	40.89
CNR1	ENSG00000118432	6	88849583	88876078	Y	N	Y	2	1419	39.1
MAP3K7	ENSG00000135341	6	91223292	91296764	Y	N	N	17	1821	35.81
POU3F2	ENSG00000184486	6	99282580	99286660	Y	N	N	1	1332	48.42
SIM1	ENSG00000112246	6	100832891	100912805	Y	N	N	11	2301	39.73
PRDM1	ENSG00000057657	6	106534195	106557814	Y	N	N	7	2478	41.29
ATG5	ENSG00000057663	6	106632351	106773666	Y	N	N	8	828	36.83
WASF1	ENSG00000112290	6	110421022	110501207	Y	N	Y	10	1680	36.65
AMD1	ENSG00000123505	6	111195973	111216916	Y	N	N	9	1005	41.53
REV3L	ENSG00000009413	6	111620234	111804918	Y	N	Y	32	9393	36.9
LAMA4	ENSG00000112769	6	112429963	112576141	Y	N	Y	39	5472	39.14
MARCKS	ENSG00000155130	6	114178541	114184648	Y	N	Y	2	999	48.44
HDAC2	ENSG00000196591	6	114254192	114332472	Y	N	N	14	1749	38.55
COL10A1	ENSG00000123500	6	116440086	116479910	Y	N	N	2	2043	35.46
RFX6	ENSG00000185002	6	117198375	117253326	Y	N	N	19	2787	34.58
MCM9	ENSG00000111877	6	119134618	119256327	Y	N	N	13	3432	39.07
ASF1A	ENSG00000111875	6	119215384	119230332	Y	N	N	4	615	39.13
GJA1	ENSG00000152661	6	121756838	121770873	Y	N	Y	2	1149	40.25
HSF2	ENSG00000025156	6	122720691	122754264	Y	N	N	13	1611	35.55
HEY2	ENSG00000135547	6	126068810	126082415	Y	N	N	5	1014	43.64
RSPO3	ENSG00000146374	6	127439749	127518910	Y	N	N	6	879	36.08
LAMA2	ENSG00000196569	6	129204342	129837714	Y	N	Y	65	9369	36.02
L3MBTL3	ENSG00000198945	6	130334844	130462594	Y	N	N	23	2343	38.41
ARG1	ENSG00000118520	6	131894284	131905472	Y	N	N	8	993	37.97
CTGF	ENSG00000118523	6	132269316	132272513	Y	N	N	5	1050	52.28
EYA4	ENSG00000112319	6	133561736	133853258	Y	N	N	20	1938	36.95
TCF21	ENSG00000118526	6	134210276	134216691	Y	N	N	3	540	47.57
MYB	ENSG00000118513	6	135502453	135540311	Y	N	N	16	2286	39.74
AHI1	ENSG00000135541	6	135604670	135818914	Y	N	N	29	3591	36.31
BCLAF1	ENSG00000029363	6	136578001	136610989	Y	N	N	13	2763	35.61
PEX7	ENSG00000112357	6	137143717	137235059	Y	N	N	10	972	38.37
OLIG3	ENSG00000177468	6	137813336	137815531	Y	N	N	1	819	54.64
TNFAIP3	ENSG00000118503	6	138188351	138204449	Y	N	N	9	2373	43.95
PERP	ENSG00000112378	6	138411923	138428648	Y	N	N	3	582	39.51
CITED2	ENSG00000164442	6	139693393	139695757	Y	N	N	2	813	53.07
GPR126	ENSG00000112414	6	142622991	142767403	Y	N	N	25	3753	35.7
PLAGL1	ENSG00000118495	6	144261437	144385735	Y	N	N	5	1392	40.32
STXBP5	ENSG00000164506	6	147525561	147706866	Y	N	N	28	3456	34.52
TAB2	ENSG00000055208	6	149539777	149732749	Y	N	N	8	2082	38.87
LATS1	ENSG00000131023	6	149979289	150039392	Y	N	N	7	3393	41.22
PPP1R14C	ENSG00000198729	6	150464212	150571493	Y	N	N	4	498	43.9
SYNE1	ENSG00000131018	6	152442819	152958936	Y	N	N	146	26394	38.41
FBXO5	ENSG00000112029	6	153291664	153304714	Y	N	N	5	1344	38.54
TFB1M	ENSG00000029639	6	155578643	155635627	Y	N	N	7	1041	38.35
EZR	ENSG00000092820	6	159186773	159240444	Y	N	N	14	1761	46.17
SOD2	ENSG00000112096	6	160100096	160183561	Y	N	N	5	669	42.37
WTAP	ENSG00000146457	6	160146617	160177351	Y	N	N	8	1191	38.63
IGF2R	ENSG00000197081	6	160390131	160534539	Y	N	N	48	7476	45.55
MAP3K4	ENSG00000085511	6	161412759	161538417	Y	N	N	27	4827	38.79
QKI	ENSG00000112531	6	163835032	163999628	Y	N	Y	8	1026	36.39
T	ENSG00000164458	6	166571144	166582188	Y	N	N	9	1308	51.51
MLLT4	ENSG00000130396	6	168227602	168372703	Y	N	N	34	5505	38.79
DLL1	ENSG00000198719	6	170591294	170599561	Y	N	N	11	2172	57.9
TBP	ENSG00000112592	6	170863390	170881957	Y	N	N	8	1020	39.46
PDCD2	ENSG00000071994	6	170884383	170893780	Y	N	N	6	1035	41.64
PDGFA	ENSG00000197461	7	536895	559933	Y	N	Y	7	636	60.14
UNCX	ENSG00000164853	7	1272543	1276954	Y	N	N	3	1596	67.23
INTS1	ENSG00000164880	7	1509913	1545489	Y	N	N	49	7185	63.27
MAD1L1	ENSG00000002822	7	1855383	2272878	Y	N	N	19	2157	55.65
LFNG	ENSG00000106003	7	2552163	2568811	Y	N	N	8	1140	62.83
ACTB	ENSG00000075624	7	5566782	5603415	Y	N	N	6	1128	56.7
AIMP2	ENSG00000106305	7	6048876	6063465	Y	N	N	4	963	46.93
RAC1	ENSG00000136238	7	6414154	6443608	Y	N	N	7	636	45.86
C1GALT1	ENSG00000106392	7	7196565	7288251	Y	N	N	3	1092	37.34
MEOX2	ENSG00000106511	7	15650837	15726437	Y	N	N	3	915	34.86
SOSTDC1	ENSG00000171243	7	16501106	16570205	Y	N	N	5	693	38.75
AHR	ENSG00000106546	7	17338246	17385776	Y	N	N	12	2547	34.56
SNX13	ENSG00000071189	7	17832466	17980124	Y	N	N	26	2874	35.15
TWIST1	ENSG00000122691	7	19060614	19157295	Y	N	N	2	609	37.36
ITGB8	ENSG00000105855	7	20370325	20450419	Y	N	N	14	2310	37.76
SP8	ENSG00000164651	7	20823906	20826505	Y	N	N	2	1527	62.58
SP4	ENSG00000105866	7	21467652	21554440	Y	N	N	6	2355	38.35
CYCS	ENSG00000172115	7	25159710	25164980	Y	N	N	3	318	43.01
HOXA1	ENSG00000105991	7	27132612	27135615	Y	N	N	2	1008	46.8
HOXA2	ENSG00000105996	7	27139721	27142430	Y	N	N	2	1131	47.97
HOXA3	ENSG00000105997	7	27145816	27192200	Y	N	N	3	1332	50.32
HOXA5	ENSG00000106004	7	27180671	27183287	Y	N	N	2	813	53.53
HOXA13	ENSG00000106031	7	27233122	27239725	Y	N	N	2	1167	45.38
EVX1	ENSG00000106038	7	27282164	27287047	Y	N	N	3	1224	62.1
TAX1BP1	ENSG00000106052	7	27778950	27880938	Y	N	Y	18	2442	36.49
CREB5	ENSG00000146592	7	28338940	28865511	Y	N	N	11	1527	40.7
CPVL	ENSG00000106066	7	29034847	29235067	Y	N	N	13	1431	41
GARS	ENSG00000106105	7	30634297	30673649	Y	N	N	17	2220	38.71
AQP1	ENSG00000240583	7	30893010	30965131	Y	N	N	10	990	54.68
ADCYAP1R1	ENSG00000078549	7	31092076	31151089	Y	N	N	17	1575	51.88
BMPER	ENSG00000164619	7	33944523	34195484	Y	N	N	15	2058	40.57
TBX20	ENSG00000164532	7	35242042	35293758	Y	N	N	8	1344	36.93
INHBA	ENSG00000122641	7	41724712	41742706	Y	N	N	2	1281	41.68
GLI3	ENSG00000106571	7	42000548	42277469	Y	N	N	15	4743	41.71
DBNL	ENSG00000136279	7	44084232	44109055	Y	N	N	13	1320	53.21
AEBP1	ENSG00000106624	7	44143960	44154161	Y	N	N	21	3477	62.7
MYL7	ENSG00000106631	7	44178463	44180931	Y	N	N	6	594	61.44
GCK	ENSG00000106633	7	44183872	44237769	Y	N	N	10	1401	49.97
PPIA	ENSG00000196262	7	44836279	44864163	Y	N	N	5	498	47.06
CCM2	ENSG00000136280	7	45039074	45116068	Y	N	N	10	1398	46.33
TNS3	ENSG00000136205	7	47314752	47622156	Y	N	N	31	4338	48.46
HUS1	ENSG00000136273	7	47735328	48019178	Y	N	N	9	843	44.35
PKD1L1	ENSG00000158683	7	47814250	47988088	Y	N	N	57	8550	44.25
IKZF1	ENSG00000185811	7	50343720	50472799	Y	N	N	8	1560	43.33
DDC	ENSG00000132437	7	50526134	50633154	Y	N	N	15	1443	44.42
GRB10	ENSG00000106070	7	50657760	50861159	Y	N	N	16	1785	45.52
EGFR	ENSG00000146648	7	55086714	55324313	Y	N	N	28	3633	45.08
GUSB	ENSG00000169919	7	65425671	65447301	Y	N	N	12	1956	52.03
ASL	ENSG00000126522	7	65540785	65558545	Y	N	N	16	1395	54.6
RABGEF1	ENSG00000154710	7	66205720	66276423	Y	N	N	9	1518	42.61
SBDS	ENSG00000126524	7	66452664	66460635	Y	N	N	5	753	42.95
BAZ1B	ENSG00000009954	7	72854728	72936608	Y	N	N	19	4452	43.19
STX1A	ENSG00000106089	7	73113536	73134002	Y	N	Y	10	867	58.84
ELN	ENSG00000049540	7	73442119	73484237	Y	N	N	34	2379	54.95
GTF2IRD1	ENSG00000006704	7	73868120	74016931	Y	N	N	27	2931	52.72
GTF2I	ENSG00000077809	7	74071994	74175026	Y	N	Y	35	2997	42.77
HIP1	ENSG00000127946	7	75162621	75368280	Y	N	N	31	3114	48.34
POR	ENSG00000127948	7	75528518	75616173	Y	N	N	15	2176	50.98
FGL2	ENSG00000127951	7	76822688	76829143	Y	N	N	2	1320	35.66
PTPN12	ENSG00000127947	7	77166592	77269388	Y	N	N	18	2343	38.16
MAGI2	ENSG00000187391	7	77646393	79082890	Y	N	Y	22	4368	36.83
SEMA3C	ENSG00000075223	7	80371854	80551675	Y	N	N	18	2310	35.82
HGF	ENSG00000019991	7	81328322	81399754	Y	N	N	18	2187	34.42
SEMA3A	ENSG00000075213	7	83587659	84122040	Y	N	N	17	2316	34.35
DMTF1	ENSG00000135164	7	86781677	86825653	Y	N	N	18	2283	35.84
ADAM22	ENSG00000008277	7	87563458	87832204	Y	N	Y	31	2721	37.29
CYP51A1	ENSG00000001630	7	91741465	91772266	Y	N	N	10	1530	39.91
KRIT1	ENSG00000001631	7	91828283	91875480	Y	N	N	20	2211	36.48
CALCR	ENSG00000004948	7	93053799	93204042	Y	N	N	16	1527	35.2
COL1A2	ENSG00000164692	7	94023873	94060544	Y	N	N	52	4101	37.57
PEG10	ENSG00000242265	7	94285637	94299007	Y	N	N	2	978	43.22
DLX6	ENSG00000006377	7	96634860	96640351	Y	N	N	3	882	49.51
DLX5	ENSG00000105880	7	96649704	96654409	Y	N	N	3	870	55.55
LMTK2	ENSG00000164715	7	97736197	97838945	Y	N	N	14	4512	43.73
TRRAP	ENSG00000196367	7	98475556	98610866	Y	N	N	72	11580	46.21
COPS6	ENSG00000168090	7	99686577	99689823	Y	N	N	10	984	52.76
MCM7	ENSG00000166508	7	99690351	99699563	Y	N	N	15	2160	54.21
TAF6	ENSG00000106290	7	99704693	99717464	Y	N	N	14	2205	53.95
MOSPD3	ENSG00000106330	7	100209725	100213007	Y	N	N	6	708	57.23
ACTL6B	ENSG00000077080	7	100240720	100254084	Y	N	Y	14	1281	53.08
EPO	ENSG00000130427	7	100318423	100321323	Y	N	Y	5	582	58.01
EPHB4	ENSG00000196411	7	100400187	100425121	Y	N	N	17	2964	54.76
SRRT	ENSG00000087087	7	100472733	100486285	Y	N	N	20	2631	53.16
ACHE	ENSG00000087085	7	100487615	100494594	Y	N	Y	5	1854	64.48
VGF	ENSG00000128564	7	100805790	100808874	Y	N	N	2	1848	68.27
PLOD3	ENSG00000106397	7	100849258	100861701	Y	N	N	19	2217	58.5
CUX1	ENSG00000257923	7	101459219	101927250	Y	N	N	24	4551	48.6
PMPCB	ENSG00000105819	7	102937869	102969958	Y	N	N	12	1473	38.52
RELN	ENSG00000189056	7	103112231	103629963	Y	N	Y	65	10383	37.48
MLL5	ENSG00000005483	7	104654626	104754808	Y	N	Y	26	5577	37.46
RINT1	ENSG00000135249	7	105172532	105208124	Y	N	N	15	2379	41.55
NAMPT	ENSG00000105835	7	105888731	105926772	Y	N	N	11	1476	37.12
SLC26A3	ENSG00000091138	7	107405912	107443670	Y	N	N	21	2295	39.28
DLD	ENSG00000091140	7	107531415	107572175	Y	N	N	15	1530	36.67
LAMB1	ENSG00000091136	7	107564244	107643700	Y	N	N	32	5433	42.42
PNPLA8	ENSG00000135241	7	108110866	108210110	Y	N	Y	11	2349	37.75
FOXP2	ENSG00000128573	7	113726382	114333827	Y	N	N	18	2223	34.83
MET	ENSG00000105976	7	116312248	116438440	Y	N	N	21	4227	39.09
WNT2	ENSG00000105989	7	116916685	116963343	Y	N	N	5	1083	42.27
CFTR	ENSG00000001626	7	117105838	117308719	Y	N	N	27	4443	36
FEZF1	ENSG00000128610	7	121941448	121950745	Y	N	N	4	1428	49.29
WASL	ENSG00000106299	7	123321989	123389121	Y	N	N	11	1518	35.43
POT1	ENSG00000128513	7	124462440	124570037	Y	N	N	19	1905	34.37
PAX4	ENSG00000106331	7	127250346	127255982	Y	N	N	10	1047	52.05
FLNC	ENSG00000128591	7	128470431	128499328	Y	N	N	48	8178	60.86
SMO	ENSG00000128602	7	128828713	128853386	Y	N	N	12	2364	49.17
NRF1	ENSG00000106459	7	129251555	129396922	Y	N	N	11	1569	41.15
MEST	ENSG00000106484	7	130126046	130146133	Y	N	N	12	1008	44.88
PODXL	ENSG00000128567	7	131185021	131242976	Y	N	N	9	1683	50.47
CHCHD3	ENSG00000106554	7	132469629	132766848	Y	N	N	11	726	39.02
EXOC4	ENSG00000131558	7	132937829	133751342	Y	N	N	18	2925	38.3
CALD1	ENSG00000122786	7	134429003	134655479	Y	N	Y	15	2382	40.05
CREB3L2	ENSG00000182158	7	137559725	137686813	Y	N	N	12	1563	43.66
BRAF	ENSG00000157764	7	140424943	140624564	Y	N	N	18	2301	37.98
CUL1	ENSG00000055130	7	148395006	148498201	Y	N	N	22	2331	41.21
EZH2	ENSG00000106462	7	148504475	148581413	Y	N	N	20	2256	39.21
KCNH2	ENSG00000055118	7	150642049	150675403	Y	N	N	15	3480	59.57
NOS3	ENSG00000164867	7	150688083	150711676	Y	N	N	27	3612	57.6
CDK5	ENSG00000164885	7	150750899	150755617	Y	N	Y	12	879	58.08
SLC4A2	ENSG00000164889	7	150754297	150773614	Y	N	N	23	3726	59.83
RHEB	ENSG00000106615	7	151163098	151217206	Y	N	Y	8	555	42
MLL3	ENSG00000055609	7	151832010	152133090	Y	N	Y	60	14907	38.65
XRCC2	ENSG00000196584	7	152341864	152373250	Y	N	N	3	843	42.58
PAXIP1	ENSG00000157212	7	154735397	154794794	Y	N	N	21	3210	40.81
